scode,scount,ssum,spercent,sdate
130534,365,0,0.0000,2013/1/3 0:00:00
130535,326,0,0.0000,2013/1/3 0:00:00
130581,584,0,0.0000,2013/1/3 0:00:00
130582,735,3,0.4082,2013/1/3 0:00:00
130602,49,0,0.0000,2013/1/3 0:00:00
130603,70,0,0.0000,2013/1/3 0:00:00
130604,47,0,0.0000,2013/1/3 0:00:00
130621,670,0,0.0000,2013/1/3 0:00:00
130622,541,0,0.0000,2013/1/3 0:00:00
130623,1118,19,1.6995,2013/1/3 0:00:00
130624,1659,0,0.0000,2013/1/3 0:00:00
130625,418,3,0.7177,2013/1/3 0:00:00
130626,532,264,49.6241,2013/1/3 0:00:00
130627,928,3,0.3233,2013/1/3 0:00:00
130628,306,0,0.0000,2013/1/3 0:00:00
130629,221,124,56.1086,2013/1/3 0:00:00
130630,1855,200,10.7817,2013/1/3 0:00:00
130631,261,0,0.0000,2013/1/3 0:00:00
130632,514,168,32.6848,2013/1/3 0:00:00
130633,1681,0,0.0000,2013/1/3 0:00:00
130634,840,2,0.2381,2013/1/3 0:00:00
130635,452,0,0.0000,2013/1/3 0:00:00
130636,563,0,0.0000,2013/1/3 0:00:00
130637,202,0,0.0000,2013/1/3 0:00:00
130638,346,340,98.2659,2013/1/3 0:00:00
130681,507,449,88.5602,2013/1/3 0:00:00
130682,912,0,0.0000,2013/1/3 0:00:00
130683,319,0,0.0000,2013/1/3 0:00:00
130684,446,446,100.0000,2013/1/3 0:00:00
130702,100,0,0.0000,2013/1/3 0:00:00
130703,182,5,2.7473,2013/1/3 0:00:00
130705,176,58,32.9545,2013/1/3 0:00:00
130706,100,0,0.0000,2013/1/3 0:00:00
130721,1754,450,25.6556,2013/1/3 0:00:00
130722,2896,2896,100.0000,2013/1/3 0:00:00
130723,2439,2430,99.6310,2013/1/3 0:00:00
130724,2677,2677,100.0000,2013/1/3 0:00:00
130725,1644,1306,79.4404,2013/1/3 0:00:00
130726,2172,1683,77.4862,2013/1/3 0:00:00
130727,1266,360,28.4360,2013/1/3 0:00:00
130728,1112,478,42.9856,2013/1/3 0:00:00
130729,798,199,24.9373,2013/1/3 0:00:00
130730,1249,148,11.8495,2013/1/3 0:00:00
130731,1922,689,35.8481,2013/1/3 0:00:00
130732,3717,1239,33.3333,2013/1/3 0:00:00
130733,1569,1178,75.0797,2013/1/3 0:00:00
130802,247,0,0.0000,2013/1/3 0:00:00
130803,297,0,0.0000,2013/1/3 0:00:00
130804,75,0,0.0000,2013/1/3 0:00:00
130821,2702,439,16.2472,2013/1/3 0:00:00
130822,2136,93,4.3539,2013/1/3 0:00:00
130823,2354,1734,73.6619,2013/1/3 0:00:00
130824,2238,150,6.7024,2013/1/3 0:00:00
130825,3926,561,14.2894,2013/1/3 0:00:00
130826,6230,2623,42.1027,2013/1/3 0:00:00
130827,1192,45,3.7752,2013/1/3 0:00:00
130828,6503,3659,56.2663,2013/1/3 0:00:00
130902,84,58,69.0476,2013/1/3 0:00:00
130903,66,65,98.4848,2013/1/3 0:00:00
130921,1018,799,78.4872,2013/1/3 0:00:00
130922,700,579,82.7143,2013/1/3 0:00:00
130923,509,496,97.4460,2013/1/3 0:00:00
130924,571,108,18.9142,2013/1/3 0:00:00
130925,534,336,62.9213,2013/1/3 0:00:00
130926,363,40,11.0193,2013/1/3 0:00:00
130927,559,511,91.4132,2013/1/3 0:00:00
130928,397,204,51.3854,2013/1/3 0:00:00
130929,749,717,95.7276,2013/1/3 0:00:00
130930,345,138,40.0000,2013/1/3 0:00:00
130981,631,619,98.0983,2013/1/3 0:00:00
130982,753,578,76.7596,2013/1/3 0:00:00
130983,1347,215,15.9614,2013/1/3 0:00:00
130984,843,792,93.9502,2013/1/3 0:00:00
131002,387,14,3.6176,2013/1/3 0:00:00
131003,254,0,0.0000,2013/1/3 0:00:00
131022,527,448,85.0095,2013/1/3 0:00:00
131023,488,128,26.2295,2013/1/3 0:00:00
131024,319,0,0.0000,2013/1/3 0:00:00
131025,618,556,89.9676,2013/1/3 0:00:00
131026,726,568,78.2369,2013/1/3 0:00:00
131028,148,0,0.0000,2013/1/3 0:00:00
131081,558,256,45.8781,2013/1/3 0:00:00
131082,400,0,0.0000,2013/1/3 0:00:00
131102,366,71,19.3989,2013/1/3 0:00:00
131121,515,1,0.1942,2013/1/3 0:00:00
131122,608,352,57.8947,2013/1/3 0:00:00
131123,319,309,96.8652,2013/1/3 0:00:00
131124,367,48,13.0790,2013/1/3 0:00:00
131125,304,0,0.0000,2013/1/3 0:00:00
131126,622,0,0.0000,2013/1/3 0:00:00
131127,742,258,34.7709,2013/1/3 0:00:00
131128,509,501,98.4283,2013/1/3 0:00:00
131181,605,23,3.8017,2013/1/3 0:00:00
131182,879,210,23.8908,2013/1/3 0:00:00
140105,143,0,0.0000,2013/1/3 0:00:00
140106,57,0,0.0000,2013/1/3 0:00:00
140107,76,0,0.0000,2013/1/3 0:00:00
140108,165,0,0.0000,2013/1/3 0:00:00
140109,186,0,0.0000,2013/1/3 0:00:00
140110,322,0,0.0000,2013/1/3 0:00:00
140121,379,0,0.0000,2013/1/3 0:00:00
140122,1473,0,0.0000,2013/1/3 0:00:00
140123,1027,4,0.3895,2013/1/3 0:00:00
140181,1035,0,0.0000,2013/1/3 0:00:00
140202,64,10,15.6250,2013/1/3 0:00:00
140203,69,0,0.0000,2013/1/3 0:00:00
140211,482,135,28.0083,2013/1/3 0:00:00
140212,686,601,87.6093,2013/1/3 0:00:00
140221,1294,277,21.4065,2013/1/3 0:00:00
140222,1118,453,40.5188,2013/1/3 0:00:00
140223,833,293,35.1741,2013/1/3 0:00:00
140224,1888,387,20.4979,2013/1/3 0:00:00
140225,1280,823,64.2969,2013/1/3 0:00:00
140226,927,527,56.8501,2013/1/3 0:00:00
140227,1115,88,7.8924,2013/1/3 0:00:00
140302,29,0,0.0000,2013/1/3 0:00:00
140303,47,0,0.0000,2013/1/3 0:00:00
140311,452,0,0.0000,2013/1/3 0:00:00
